formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
CsMnCl3,15,Cs1 Mn1 Cl3,10.06014829,10.06014743,10.06014844,42.59069864,42.5907019,42.59070069,trig,R-3m,15.0,-13.55107943,-1.903108246,0.0,3.470400823,1.4829,False,422.3155462
CsMnF3,30,Cs1 Mn1 F3,6.21865967,6.218659678,15.0791449,90.00000275,89.99999592,119.9996263,hex_,P6_3/mmc,30.0000033,-6.1501574,-2.991121137,0.0,4.830341797,3.4556,False,505.0130044
CsNO3,45,Cs1 N1 O3,10.84690041,10.84480427,7.680832796,89.99256164,89.99247834,119.9923396,trig,P3_1,0.0,-6.232582091,-1.416404115,0.0,3.722431332,3.2965,False,782.5278762
CsNaF3,20,Cs1 Na1 F3,4.158445,7.002554,13.573251,90.0,90.0,90.0,ortho,Pnma,4.0011304,-4.001478365,-2.406501005,0.0,3.577617621,0.0295,False,395.2494813
CsNbO3,40,Cs1 Nb1 O3,16.04611897,5.169600477,9.291497475,86.83904432,90.0,90.0,mono,P2_1/c,0.0,-8.002681929,-2.833898494,0.0,4.726470912,3.3517,False,769.5758858
CsNiBr3,10,Cs1 Ni1 Br3,7.556074976,7.556077593,6.27613375,89.99994798,90.0000508,119.999737,hex_,P6_3/mmc,4.0000001,-3.615885824,-1.297944743,0.0,4.61586223,0.0,False,310.3249117
CsNiCl3,10,Cs1 Ni1 Cl3,7.20877398,7.208780297,5.94015344,90.00000375,90.00001846,120.0000326,hex_,P6_3/mmc,3.9999997,-12.64128161,-1.533633926,0.0,3.701541106,0.8049,False,267.3322484
CsNiF3,10,Cs1 Ni1 F3,6.2008944,6.200899655,5.19003829,90.0,90.0,120.0000268,hex_,P6_3/mmc,4.0000002,-11.85890037,-2.568523299,0.0,4.777049346,5.3618,False,172.8264127
CsPO3,20,Cs1 P1 O3,4.30527062,6.812608573,13.8045881,66.40094052,90.0,90.0,mono,P2_1/c,0.0,-6.907449082,-2.675831949,0.0,3.793026488,5.4223,True,371.0290178
CsPS3,10,Cs1 P1 S3,7.245292509,7.530680202,7.53068007,74.19901481,61.24588756,61.2458846,ortho,Immm,0.0,-12.4755619,-0.834306273,0.0,2.738880732,1.9062,False,315.3575747
CsPaO3,5,Cs1 Pa1 O3,4.42986213,4.42986213,4.42986213,90.0,90.0,90.0,cubic,Pm-3m,0.0,-8.516854444,-3.459472581,0.0,7.868862178,2.973,False,86.9301902
CsPbBr3,20,Cs1 Pb1 Br3,4.60907397,9.84551805,16.95083421,90.0,90.0,90.0,ortho,Pnma,0.0,-3.540662441,-1.636219281,0.0,5.006763123,2.8808,False,769.2071757
CsPbCl3,10,Cs1 Pb1 Cl3,5.75527897,11.13722107,7.875528607,45.00235759,90.0,90.0,tet,P4/mbm,0.0,-3.920044919,-1.888647685,0.0,4.153748274,2.7365,True,356.9651387
CsPbF3,10,Cs1 Pb1 F3,6.66475513,6.664755298,6.664756089,62.28894391,62.28893761,62.28893792,trig,R3c,0.0,-4.854054985,-2.784892366,0.0,5.993799341,3.3374,False,220.0277735
CsPbI3,20,Cs1 Pb1 I3,4.84714164,10.65044663,18.03119927,90.0,90.0,90.0,ortho,Pnma,0.0,-3.101759242,-1.265076435,0.0,5.143480377,2.5181,False,930.8466583
CsSO3,20,Cs1 S1 O3,6.33106207,6.33106359,11.60598051,90.0,90.0,120.0000026,hex_,P6_3mc,0.0,-6.049899335,-2.073704994,0.0,3.511228284,5.1115,True,402.8707197
CsScI3,10,Cs1 Sc1 I3,6.731541691,8.503741291,8.498150621,120.0308927,90.01295808,89.9984006,hex_,P6_3/mmc,5.75e-05,-3.907052393,-1.546405179,0.0,4.404697294,0.0,False,421.1573108
CsSiTe3,20,Cs1 Si1 Te3,8.285141902,8.285141902,13.56096589,84.53407253,84.53407253,117.8988932,mono,Cc,0.0,-22.60731803,-0.582389612,0.0,4.467287673,1.2613,True,808.5318751
CsSnBr3,20,Cs1 Sn1 Br3,8.1224956,8.22973192,11.71381062,90.0,90.0,90.0,ortho,Pnma,0.0,-3.537762078,-1.573933961,0.0,4.167798819,0.9682,True,783.0209315
CsSnCl3,20,Cs1 Sn1 Cl3,5.799722939,7.49022164,16.31739822,90.0,93.18164942,90.0,mono,P2_1/c,0.0,-15.23997397,-1.579432963,0.0,3.359527765,2.9154,True,707.7549034
CsSnF3,20,Cs1 Sn1 F3,6.669265,4.961346,15.32983109,72.22332109,90.0,90.0,mono,P2_1/c,0.0025162,-4.91097603,-2.782428454,0.0,4.243776148,3.7852,False,483.0227061
CsSnI3,5,Cs1 Sn1 I3,6.286228,6.286228,6.286228,90.0,90.0,90.0,cubic,Pm-3m,0.0044224,-3.079453774,-1.18338601,0.0,4.226897499,0.45,True,248.4107501
CsSnS3,10,Cs1 Sn1 S3,6.806630875,7.512150706,7.708016994,99.13702219,114.4060213,107.952534,tri,P-1,0.0,-15.63081965,-0.840742537,0.0,3.584270415,1.6557,False,322.2707978
CsSrBr3,20,Cs1 Sr1 Br3,8.21232242,8.50669965,11.79237493,90.0,90.0,90.0,ortho,Pnma,0.0,-3.849744316,-2.349344953,0.0,3.710758369,4.5563,False,823.8124855
CsSrCl3,20,Cs1 Sr1 Cl3,7.87290647,8.03044119,11.26828583,90.0,90.0,90.0,ortho,Pnma,0.0,-14.28292849,-2.542492029,0.0,3.047691474,5.3123,False,712.4138479
CsSrI3,10,Cs1 Sr1 I3,8.487576926,8.487576926,12.32933082,90.0,90.0,146.5816981,ortho,Cmcm,0.0,-3.325436342,-1.892797331,0.0,4.081941154,3.959,False,489.1695303
CsTaS3,10,Cs1 Ta1 S3,7.427573231,7.427573231,6.03641524,90.0,90.0,120.0000127,hex_,P6_3mc,0.0,-6.472226546,-1.436079473,0.0,4.721832479,0.5151,True,288.4055194
CsTaSe3,20,Cs1 Ta1 Se3,6.20693143,7.68985284,13.33275792,90.0,90.0,90.0,ortho,Pnma,0.0,-24.50238634,-1.177242754,0.0,5.748247784,0.0868,True,636.3777258
CsTaTe3,10,Cs1 Ta1 Te3,6.362924061,8.25951784,8.259457974,120.0075044,89.99997071,89.99872314,hex_,P6_3mc,1.09e-05,-5.283310629,-0.84419576,0.0,6.155099004,0.0,False,375.8899971
CsTeSe3,20,Cs1 Te1 Se3,6.867251,7.711609,13.81637211,83.85481819,90.0,90.0,mono,P2_1/c,0.0003308,-3.657964072,-0.752010182,0.0,4.541328801,0.9842,False,727.4769216
CsTiBr3,10,Cs1 Ti1 Br3,7.6265278,7.626528711,6.53842333,90.00003531,90.00001716,119.9999323,hex_,P6_3/mmc,4.0000001,-4.453842156,-1.712830008,0.0,4.240053185,0.0,False,329.3500476
CsTiCl3,10,Cs1 Ti1 Cl3,7.40115554,7.401156238,5.92382661,90.0,90.0,119.9999924,hex_,P6_3/mmc,3.9999268,-13.24685952,-1.948003869,0.0,3.393342945,0.0,False,281.0166852
CsTlF3,10,Cs1 Tl1 F3,6.759902998,6.759902998,6.759902998,60.0,60.0,60.0,cubic,Fm-3m,0.0,-19.952638,-2.42274345,0.0,5.994898167,2.1858,False,218.4270369
CsVBr3,10,Cs1 V1 Br3,7.62723314,7.62723262,6.47467011,90.0,90.0,119.9999977,hex_,P6_3/mmc,6.0000001,-4.563302533,-1.584607574,0.0,4.312316786,0.6528,False,326.1987565
CsVCl3,10,Cs1 V1 Cl3,7.23788792,7.23789468,6.19426413,90.0,90.0,120.0000255,hex_,P6_3/mmc,6.0000008,-13.44505887,-1.915839475,0.0,3.429580927,0.4835,False,281.0246096
CsVI3,10,Cs1 V1 I3,8.23111885,8.231118579,6.9510579,90.0,90.0,119.9862189,hex_,P6_3/mmc,6.000001,-4.053066899,-1.142132292,0.0,4.596528052,0.5973,False,407.9054999
CsVO3,20,Cs1 V1 O3,5.45086244,5.79445238,12.27054304,90.0,90.0,90.0,ortho,Pbcm,0.0,-7.382710907,-2.417407265,0.0,3.973431261,3.1105,False,387.5621918
CuAgF3,10,Cu1 Ag1 F3,5.513262492,5.513262492,5.513262793,60.9361972,60.9361972,60.93618287,trig,R-3c,1.9999983,-9.856441633,-1.541714279,0.0,6.269244001,0.0,False,120.9979218
CuNi3N,5,Cu1 Ni3 N1,3.70207231,3.70208553,3.70222455,90.0,90.0,90.0,cubic,Pm-3m,1.0067557,-11.21189493,-0.027755304,0.0,8.300429842,0.0,False,50.74042514
CuPS3,20,Cu1 P1 S3,5.31083413,5.31083413,14.90440863,90.0,90.0,90.0,tet,P4_2/mnm,0.0,-9.091445678,-0.300671766,0.0,3.013374959,1.1555,False,420.3782367
CuSe3Br,20,Cu1 Se3 Br1,4.80714032,7.58594412,14.37169294,90.0,90.0,90.0,ortho,Pmna,0.0,-3.780614001,-0.535836473,0.0,4.820202726,1.0299,False,524.088184
Dy3AlC,5,Dy3 Al1 C1,4.8703325,4.8703325,4.8703325,90.0,90.0,90.0,cubic,Pm-3m,4e-07,-5.741221932,-0.37534835,0.0,7.567723145,0.0,False,115.5249622
Dy3AlN,5,Dy3 Al1 N1,4.75093043,4.75093043,4.75093043,90.0,90.0,90.0,cubic,Pm-3m,3.04e-05,-23.44896098,-1.087709249,0.0,8.183675708,0.0,False,107.2348658
Dy3InC,5,Dy3 In1 C1,4.9031569,4.9031569,4.9031569,90.0,90.0,90.0,cubic,Pm-3m,2e-06,-5.654029088,-0.485435924,0.0,8.654112371,0.0,False,117.876538
Dy3InN,5,Dy3 In1 N1,4.79206634,4.79206634,4.79206634,90.0,90.0,90.0,cubic,Pm-3m,2.89e-05,-26.73381282,-1.203262677,0.0,9.3001554,0.0,False,110.0445313
Dy3PbC,5,Dy3 Pb1 C1,4.89301389,4.89301389,4.89301492,90.0,90.0,90.0,cubic,Pm-3m,9.5e-06,-5.89106458,-0.53177675,0.0,10.01754558,0.0,False,117.1465323
Dy3SnC,5,Dy3 Sn1 C1,4.87069979,4.87069979,4.87069979,90.0,90.0,90.0,cubic,Pm-3m,3e-06,-6.039251322,-0.620578535,0.0,8.884204632,0.0,False,115.5511007
DyB3Mo,10,Dy1 B3 Mo1,3.15925114,5.430907745,6.840336519,77.83532261,90.0,90.0,mono,P2_1/m,0.0,-16.68311189,-0.664542838,0.0,8.419983894,0.0,False,114.7284807
DyBO3,20,Dy1 B1 O3,6.106156805,6.356277026,6.352441828,92.32161557,108.4751828,107.811875,tri,P-1,0.0,-8.75233847,-3.524008407,0.0,6.680369873,5.3594,True,220.0432487
DyBRh3,5,Dy1 B1 Rh3,4.17299336,4.17299336,4.17299336,90.0,90.0,90.0,cubic,Pm-3m,0.6675759,-7.471840072,-0.79370189,0.0,11.01483085,0.0,False,72.66797883
DyCrO3,20,Dy1 Cr1 O3,5.23463434,5.53590021,7.54140459,90.0,90.0,90.0,ortho,Pnma,12.0000008,-9.043801588,-3.220740385,0.0,7.97814862,2.4922,False,218.5379394
DyGa3Cu,5,Dy1 Ga3 Cu1,6.041687863,6.041687863,6.041687863,140.9396304,140.9396304,56.42934405,tet,I-4m2,0.0,-15.96344555,-0.532060131,0.0,8.318990922,0.0,False,86.87249652
DyGa3Ru,15,Dy1 Ga3 Ru1,6.37718383,6.37718383,6.37718383,90.0,90.0,90.0,cubic,Pm-3m,6e-07,-5.180565354,-0.585152127,0.0,9.080399909,0.0,False,259.3503322
DyMnO3,30,Dy1 Mn1 O3,6.136044374,6.136044411,11.42852703,89.99999992,90.0000001,119.9995203,hex_,P6_3cm,24.0000003,-8.782302026,-3.057447259,0.0,7.09676781,0.0,False,372.649014
DyNiGe3,10,Dy1 Ni1 Ge3,10.9250475,10.9250475,4.07458642,90.0,90.0,158.5920398,ortho,Cmmm,0.0,-5.425866614,-0.572347459,0.0,8.215337684,0.0,False,177.5130818
DyNiO3,20,Dy1 Ni1 O3,5.153995031,5.49893767,7.390526828,89.99977502,89.99809542,90.00004845,ortho,Pnma,3.9999993,-7.549553844,-2.501074799,0.0,8.536353718,0.0,False,209.4585969
DyRh3C,5,Dy1 Rh3 C1,4.14780277,4.14780277,4.14780277,90.0,90.0,90.0,cubic,Pm-3m,4e-07,-7.690970076,-0.50297715,0.0,11.24465609,0.0,False,71.35990971
DyRhO3,20,Dy1 Rh1 O3,5.21847713,5.75597356,7.573281,90.0,90.0,90.0,ortho,Pnma,0.0,-7.946916541,-2.581603258,0.0,9.150958,0.8883,True,227.4817948
DyRu3C,5,Dy1 Ru3 C1,4.13466309,4.13466309,4.13466309,90.0,90.0,90.0,cubic,Pm-3m,3.2e-06,-8.54678541,-0.212735682,0.0,11.22284012,0.0,False,70.68388009
DyScS3,20,Dy1 Sc1 S3,6.37621861,7.00288526,9.52664085,90.0,90.0,90.0,ortho,Pnma,0.0,-15.772779,-2.275721434,0.0,4.741368135,1.7737,False,425.3828748
DySeO3,40,Dy1 Se1 O3,12.22147792,5.931740473,8.88506698,73.80175795,89.99950874,89.9991949,mono,P2_1/c,0.0,-7.116776911,-2.525142906,0.0,6.21656419,1.8154,False,618.5495841
DySi3Ir,5,Dy1 Si3 Ir1,5.708651666,5.708651666,5.708651666,137.1650738,137.1650738,62.18416398,tet,I4mm,0.0,-6.728773654,-0.782220894,0.0,8.578545159,0.0,False,84.97159279
DyVO3,20,Dy1 V1 O3,5.25263721,5.66556438,7.54368515,90.0,90.0,90.0,ortho,Pnma,8.0,-9.005861854,-3.296628931,0.0,7.735287972,1.6568,False,224.4936902
DyVSb3,20,Dy1 V1 Sb3,6.182767891,6.151420121,12.7536331,90.00015439,89.99970565,89.99836354,ortho,Pbcm,7.3129507,-5.841759233,-0.623902169,0.0,7.924766148,0.0,False,485.0564125
Er3AlC,5,Er3 Al1 C1,4.80526343,4.80526343,4.80526343,90.0,90.0,90.0,cubic,Pm-3m,1.1e-06,-5.766861158,-0.431381607,0.0,8.092998743,0.0,False,110.9562074
Er3AlN,5,Er3 Al1 N1,4.68650677,4.68650677,4.68650677,90.0,90.0,90.0,cubic,Pm-3m,6.1e-06,-24.63189949,-1.104468588,0.0,8.756153709,0.0,False,102.9313683
Er3InN,5,Er3 In1 N1,4.73048637,4.73048637,4.73048637,90.0,90.0,90.0,cubic,Pm-3m,2.89e-05,-27.90605794,-1.209328626,0.0,9.892062422,0.0,False,105.8564649
ErB3Mo,10,Er1 B3 Mo1,3.14853331,5.396441535,6.795746495,101.795798,90.0,90.0,mono,P2_1/m,1e-07,-7.730199435,-0.639890588,0.0,8.686545192,0.0,False,113.0273255
ErBO3,30,Er1 B1 O3,6.471126237,6.471126237,9.485993881,70.42592957,70.42592957,60.08046882,mono,C2/c,0.0,-8.785447342,-3.567248623,0.0,7.094939422,5.6534,False,317.4615501
ErBRh3,5,Er1 B1 Rh3,4.15895118,4.15895118,4.15895118,90.0,90.0,90.0,cubic,Pm-3m,0.6594741,-7.482302914,-0.814296076,0.0,11.23663194,0.0,False,71.93685835
ErCoO3,20,Er1 Co1 O3,5.08216856,5.42485142,7.3068925,90.0,90.0,90.0,ortho,Pnma,0.0,-7.962130946,-2.653127237,0.0,9.040484271,1.4471,False,201.4510944
ErCrO3,20,Er1 Cr1 O3,5.18848926,5.52090784,7.50302878,90.0,90.0,90.0,ortho,Pnma,12.0000001,-9.049514932,-3.236585073,0.0,8.259316967,0.2571,False,214.9255427
ErGa3Os,15,Er1 Ga3 Os1,6.35239464,6.35239464,6.35239464,90.0,90.0,90.0,cubic,Pm-3m,0.1299785,-5.46129247,-0.485417608,0.0,11.0123236,0.0,False,256.3376579
ErGa3Ru,15,Er1 Ga3 Ru1,6.34642962,6.34642962,6.34642962,90.0,90.0,90.0,cubic,Pm-3m,0.0,-5.169319739,-0.584037855,0.0,9.305795499,0.0,False,255.6162179
ErMnO3,30,Er1 Mn1 O3,6.079453238,6.079430599,11.38085613,90.00000082,89.99999731,119.9996731,hex_,P6_3cm,23.999999,-8.79721865,-3.082495226,0.0,7.389986188,0.0,False,364.279241
ErNiO3,20,Er1 Ni1 O3,5.10714498,5.49542731,7.3320099,90.0,90.0,90.0,ortho,Pnma,4.0000005,-7.555905561,-2.51755786,0.0,8.842572876,0.0,False,205.7797793
ErRh3C,5,Er1 Rh3 C1,4.13379555,4.13379555,4.13379555,90.0,90.0,90.0,cubic,Pm-3m,1e-07,-7.705516856,-0.527655274,0.0,11.47122129,0.0,False,70.6393965
ErRhO3,20,Er1 Rh1 O3,5.18710261,5.72004523,7.53016477,90.0,90.0,90.0,ortho,Pnma,0.0,-7.951800669,-2.59661873,0.0,9.458659049,0.9642,True,223.4234642
ErRu3C,5,Er1 Ru3 C1,4.12095413,4.12095413,4.12095413,90.0,90.0,90.0,cubic,Pm-3m,1.07e-05,-8.569525722,-0.245607338,0.0,11.44813657,0.0,False,69.98312661
ErVO3,20,Er1 V1 O3,5.20978186,5.64494742,7.49784195,90.0,90.0,90.0,ortho,Pnma,8.0,-9.009617457,-3.310515878,0.0,8.018613803,1.5838,False,220.503619
Eu3InO,5,Eu3 In1 O1,5.05264029,5.05256428,5.05271312,90.0,90.0,90.0,cubic,Pm-3m,21.3701509,-9.167340546,-1.453046447,0.0,7.552961566,0.0,False,128.9896514
EuCO3,20,Eu1 C1 O3,5.10965115,5.94351265,8.41489239,90.0,89.99997449,90.0,ortho,Pnma,28.0000011,-9.494560945,-2.622428861,0.0,5.509426855,0.4293,False,255.5541916
EuCoGe3,5,Eu1 Co1 Ge3,4.288636251,4.288636478,5.787390126,111.7474173,111.7474131,89.9999951,tet,I4mm,6.7529439,-19.12541619,-0.451206875,0.0,7.854171519,0.0,False,90.66108411
EuGa3Ag,5,Eu1 Ga3 Ag1,6.245589545,6.245589545,6.245589545,139.5323532,139.5323532,58.56404667,tet,I-4m2,6.946192,-19.30995557,-0.46893803,0.0,7.660098195,0.0,False,101.6690381
EuGa3Cu,5,Eu1 Ga3 Cu1,6.089450218,6.089450218,6.089450218,139.6484425,139.6484425,58.38747938,tet,I-4m2,6.949563,-5.106048172,-0.411726842,0.0,7.518369364,0.0,False,93.79641197
EuGa3Pd,10,Eu1 Ga3 Pd1,6.069418262,6.069418262,5.91717711,90.0,90.0,116.4756808,ortho,Cmcm,13.9218176,-19.8764438,-0.714510963,0.0,7.958261346,0.0,False,195.1154878
EuGe3Ir,5,Eu1 Ge3 Ir1,5.973193329,5.973193329,5.973193329,136.029868,136.029868,63.93416227,tet,I4mm,6.7956024,-7.194591296,-0.595465364,0.0,9.209099647,0.0,False,101.3552579
EuGe3Pd,5,Eu1 Ge3 Pd1,5.958681488,5.958681488,5.958681488,135.9971454,135.9971454,63.98474846,tet,I4mm,6.8883315,-6.448426666,-0.581011208,0.0,7.851666359,0.0,False,100.7329353
EuGe3Pt,5,Eu1 Ge3 Pt1,4.482715624,4.482712873,5.929244457,112.2109185,112.2109286,90.00000332,tet,I4mm,6.8489318,-6.694285784,-0.648620024,0.0,9.317079162,0.0,False,100.6915815
EuGe3Rh,5,Eu1 Ge3 Rh1,5.922378063,5.922378063,5.922378063,136.2846057,136.2846057,63.54063592,tet,I4mm,6.8133933,-21.52292114,-0.668312321,0.0,8.018124759,0.0,False,97.91384627
EuGeS3,30,Eu1 Ge1 S3,8.41611227,8.485661838,11.77012284,69.18407749,80.70013195,75.42701155,tri,P-1,42.0000004,-6.82402399,-1.358780296,0.0,4.21656938,0.0,True,758.0085476
EuH3Pd,5,Eu1 H3 Pd1,3.78882214,3.79214528,3.79250035,90.0,90.0,90.0,cubic,Pm-3m,6.9417748,-14.96014824,-0.590813538,0.0,7.966230302,0.0,False,54.48974998
EuHfO3,5,Eu1 Hf1 O3,4.09768332,4.09766316,4.09771369,89.99898543,89.99935178,90.00050728,cubic,Pm-3m,6.9999999,-10.73750292,-3.719666126,0.0,9.133639661,0.4796,True,68.80440725
EuHfS3,20,Eu1 Hf1 S3,6.60695663,7.07850207,9.64170674,90.0,90.0,90.0,ortho,Pnma,27.9999917,-23.64051265,-2.085053584,0.0,6.284678757,0.1287,True,450.9171333
EuMgGa3,5,Eu1 Mg1 Ga3,4.31164196,4.31164196,6.443302586,70.45280835,70.45280835,90.0,tet,I-4m2,7.0127319,-4.619867374,-0.419293375,0.0,6.065248181,0.0,False,105.5249246
EuNbO3,10,Eu1 Nb1 O3,5.709876911,5.706059609,5.706064032,60.57379755,59.97948554,59.9795908,ortho,Imma,13.4203772,-10.19022345,-3.143563456,0.0,7.369784191,0.0,False,131.9766511
EuNiGe3,5,Eu1 Ni1 Ge3,5.783994395,5.783994395,5.783994395,136.0205306,136.0205306,63.94859619,tet,I4mm,6.8120356,-6.509523508,-0.522057076,0.0,7.730846678,0.0,False,92.05583106
EuNpO3,20,Eu1 Np1 O3,5.94021533,6.13438638,8.55275324,90.0,90.0,90.0,ortho,Pnma,40.0,-11.03505147,-3.419096551,0.0,9.312659001,0.0,False,311.6587018
EuPS3,20,Eu1 P1 S3,7.55293914,6.64483084,11.29563194,55.65330523,90.0,90.0,mono,P2_1/c,28.0000004,-15.61367748,-1.288086224,0.0,3.961132608,0.844,False,468.0589134
EuPSe3,20,Eu1 P1 Se3,7.80256507,6.99196033,11.82313847,55.42852351,90.0,90.0,mono,P2_1/c,28.0000005,-19.1985621,-1.107034159,0.0,5.250249069,0.4933,False,531.1167416
EuSeO3,10,Eu1 Se1 O3,4.431882117,5.423626961,6.449863472,90.00037742,106.7273964,90.00187766,mono,P2_1/m,13.9999001,-7.976394935,-2.250813653,0.0,6.238942248,0.0866,False,148.4742738
EuSi3Ir,5,Eu1 Si3 Ir1,5.818493814,5.818493814,5.818493814,137.0997678,137.0997678,62.28458223,tet,I4mm,6.6934462,-7.801438646,-0.720938609,0.0,7.888610643,0.0,False,90.18536198
EuSi3Ni,5,Eu1 Si3 Ni1,5.607886525,5.607886525,5.607886525,136.7929674,136.7929674,62.75674869,tet,I4mm,6.7301044,-6.994201492,-0.525360955,0.0,5.998368144,0.0,False,81.64154658
EuSi3Rh,5,Eu1 Si3 Rh1,5.770062404,5.770062404,5.770062404,137.1989127,137.1989127,62.13214338,tet,I4mm,6.7430028,-18.52662264,-0.73094161,0.0,6.425854498,0.0,False,87.63534432
EuTiO3,10,Eu1 Ti1 O3,5.525466335,5.525404238,5.52540684,89.0832408,120.5302153,120.5301943,tet,I4/mcm,13.9952801,-10.16401936,-3.558521974,0.0,6.956660393,0.0,False,118.3125365
EuZrO3,20,Eu1 Zr1 O3,5.74546581,5.84474033,8.1659234,90.0000538,90.0001131,90.00000107,ortho,Pnma,0.0,-10.37613,-3.640190887,0.0,7.05316608,0.1866,True,274.217879
EuZrS3,20,Eu1 Zr1 S3,6.5652183,7.15394128,9.6658817,90.0,90.0,90.0,ortho,Pnma,4.2647362,-8.33156139,-2.081383141,0.0,4.965501931,0.1453,True,453.9792657
Fe3PdN,5,Fe3 Pd1 N1,3.85021387,3.85019387,3.85026736,90.0,90.0,90.0,cubic,Pm-3m,8.8165258,-7.983002004,-0.197357367,0.0,8.37771315,0.0,False,57.07663225
Fe3PtN,5,Fe3 Pt1 N1,3.84908392,3.84911315,3.84906827,90.0,90.0,90.0,cubic,Pm-3m,8.7936485,-8.215224814,-0.251329875,0.0,10.96693772,0.0,False,57.0261001
Fe3RhN,5,Fe3 Rh1 N1,3.83973055,3.83963097,3.83894589,90.0,90.0,90.0,cubic,Pm-3m,9.5591468,-8.368635934,-0.146106085,0.0,8.345426463,0.0,False,56.59814871
FeBO3,10,Fe1 B1 O3,5.521964019,5.521963684,5.521963256,49.74109871,49.74109212,49.74110201,trig,R-3c,9.9999998,-8.269021531,-2.270362332,0.0,4.222110401,1.4816,False,90.18607293
FeCO3,10,Fe1 C1 O3,5.679365808,5.67936593,5.679360259,48.88741061,48.88740146,48.88743182,trig,R-3c,8.0000006,-8.298319626,-1.789805682,0.0,4.030868222,0.0,False,95.45334472
FeSnO3,20,Fe1 Sn1 O3,5.337292043,9.084800173,5.472166757,74.37808331,68.38294472,90.25759005,tri,P-1,16.0231149,-7.323507478,-1.858812262,0.0,6.264690592,0.862,False,235.9626721
Gd3AlC,5,Gd3 Al1 C1,4.94053157,4.93884406,4.94179571,90.0,90.0,90.0,cubic,Pm-3m,21.311725,-11.38146493,-0.340943325,0.0,7.033428752,0.0,False,120.5823603
Gd3InN,5,Gd3 In1 N1,4.87670412,4.87457709,4.877545244,90.01681822,90.03453621,89.95861864,cubic,Pm-3m,21.888467,-33.47216571,-1.092494318,0.0,8.601054209,0.0,False,115.948316
Gd3SnC,5,Gd3 Sn1 C1,4.94748706,4.9474829,4.94746415,90.0,90.0,90.0,cubic,Pm-3m,21.8300514,-11.70081608,-0.60749527,0.0,8.26101486,0.0,False,121.1020862
Gd3TlC,5,Gd3 Tl1 C1,4.96836386,4.96836698,4.96837114,90.0,90.0,90.0,cubic,Pm-3m,21.2553073,-11.18187285,-0.41617198,0.0,9.3172411,0.0,False,122.6425272
GdAl3Cu,5,Gd1 Al3 Cu1,6.056301753,6.056301753,6.056301753,139.9514558,139.9514558,57.9270134,tet,I4mm,7.117645,-15.36879264,-0.48077338,0.0,5.496854318,0.0,False,91.15251225
GdBO3,30,Gd1 B1 O3,6.630340993,6.63034203,9.681883074,70.33476037,70.33475606,60.09216631,mono,C2/c,42.0000001,-10.61890975,-3.499030348,0.0,6.332712922,3.1001,False,339.9251601
GdBRh3,5,Gd1 B1 Rh3,4.19646217,4.19646627,4.19648879,90.0,90.0,90.0,cubic,Pm-3m,6.2813963,-25.42463664,-0.794227558,0.0,10.71301549,0.0,False,73.90147669
GdCoSi3,5,Gd1 Co1 Si3,5.612877539,5.612877539,5.612877539,137.4665121,137.4665121,61.72105028,tet,I4mm,6.8789372,-8.133100186,-0.636001576,0.0,6.245549425,0.0,False,79.87957773
GdCrO3,20,Gd1 Cr1 O3,5.31706381,5.54613965,7.61618941,90.0,90.0,90.0,ortho,Pnma,40.0000011,-10.8879147,-3.173304159,0.0,7.607718597,2.6309,True,224.5951684
GdGa3Os,15,Gd1 Ga3 Os1,6.42088356,6.42087623,6.42090036,89.99996823,90.00002686,89.99999001,cubic,Pm-3m,20.5617901,-7.362232748,-0.484677201,0.0,10.47530706,0.0,False,264.7189449
GdGa3Ru,15,Gd1 Ga3 Ru1,6.42124033,6.42108281,6.41009931,90.0,90.0,90.0000182,cubic,Pm-3m,6.9923952,-7.069083892,-0.582121322,0.0,8.811498975,0.0,False,264.2968296
GdInO3,30,Gd1 In1 O3,6.367214475,6.367214541,12.34803472,90.00000308,90.00000487,119.9998517,hex_,P6_3cm,42.0000007,-9.283875621,-2.948039821,0.0,7.35549791,1.7714,True,433.5389137
GdMnO3,20,Gd1 Mn1 O3,5.33266967,5.63531689,7.62006186,90.0,90.0,90.0,ortho,Pnma,44.0000015,-10.59835723,-2.981953118,0.0,7.546957429,0.4041,False,228.9926389
GdNiGe3,10,Gd1 Ni1 Ge3,11.01922665,11.01922665,4.127765,90.0,90.0,158.3428095,ortho,Cmmm,13.9813376,-7.329480765,-0.584412268,0.0,7.789809441,0.0,False,184.9716943
GdNiO3,20,Gd1 Ni1 O3,5.23580731,5.49316529,7.47467175,90.0,90.0,90.0,ortho,Pnma,24.0000019,-9.389624715,-2.449596328,0.0,8.154897114,0.0,False,214.9801926
GdRh3C,5,Gd1 Rh3 C1,4.16968333,4.16967923,4.16969563,90.0,90.0,90.0,cubic,Pm-3m,7.000828,-9.540689496,-0.461147228,0.0,10.94828777,0.0,False,72.49533719
GdScS3,20,Gd1 Sc1 S3,6.41368888,7.06362167,9.53369315,90.0,90.0,90.0,ortho,Pnma,28.0000007,-18.04230638,-2.262208398,0.0,4.588943874,1.1774,True,431.9132118
