formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
CaRhO3,10,Ca1 Rh1 O3,3.113141821,5.142154487,7.29758608,90.00054491,90.00018984,107.6181484,ortho,Cmcm,1.9944838,-6.93581445,-2.093056297,0.0,5.69654425,0.0,False,111.3420909
CaRuO3,20,Ca1 Ru1 O3,5.35225118,5.54761917,7.67012603,90.0,90.0,90.0,ortho,Pnma,7.9989245,-7.451465702,-2.226688614,0.0,5.516467738,0.0,False,227.7433092
CaSeO3,20,Ca1 Se1 O3,6.393451796,6.694465492,6.80623043,90.0,90.0,102.6581409,mono,P2_1/c,0.0,-6.376005911,-2.306927036,0.0,3.90344177,4.2602,False,284.2313548
CaSi3Ir,5,Ca1 Si3 Ir1,5.762805691,5.762805691,5.762805691,137.3753047,137.3753047,61.8611082,tet,I4mm,0.0,-6.058008302,-0.634010672,0.0,6.059767464,0.0,False,86.74361442
CaSi3Pt,5,Ca1 Si3 Pt1,5.759354076,5.759354076,5.759354076,136.9076574,136.9076574,62.58016051,tet,I4mm,0.0,-17.65388211,-0.684421231,0.0,6.022340465,0.0,False,88.07321688
CaSiO3,30,Ca1 Si1 O3,7.084383563,7.325270901,7.933160089,103.3979812,95.28069284,90.04923166,tri,P-1,0.0,-7.9030084,-3.448048215,0.0,2.902926206,4.8413,False,398.6826269
CaSnO3,20,Ca1 Sn1 O3,5.52398931,5.6962779,7.90708393,90.0,90.0,90.0,ortho,Pnma,0.0,-6.866365997,-2.694555047,0.0,5.520396787,2.3301,False,248.8057122
CaTcN3,10,Ca1 Tc1 N3,3.638906312,6.367023437,6.437673752,105.0711329,90.00000126,106.6044106,mono,C2/m,0.0,-12.65117169,-0.573330142,0.0,4.347663338,0.474,False,137.5727179
CaTcO3,20,Ca1 Tc1 O3,5.42016857,5.59445017,7.74489509,90.0,90.0,90.0,ortho,Pnma,12.0039714,-7.917140687,-2.475116318,0.0,5.262767384,0.0,False,234.8473926
CaTeO3,100,Ca1 Te1 O3,12.11414408,12.11414408,11.07393812,90.0,90.0,90.0,tet,P4_1,0.0,-6.409629036,-2.411071278,0.0,4.407514549,2.895,False,1625.127958
CaTiO3,20,Ca1 Ti1 O3,5.37204886,5.46279649,7.63635962,90.0,90.0,90.0,ortho,Pnma,0.0,-8.50508214,-3.556087157,0.0,4.029259414,2.3053,True,224.0997377
