mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-776320,CuAsO3,10,Cu1 As1 O3,5.787770911,5.787770911,5.787771351,51.32919719,51.32919719,51.32920558,trig,R-3,0.0001056,-5.981437807,-1.258795363,0.094881303,False,5.676387281,0.0,False,109.095356,-2407697047271.552,6374427935095.588
mp-22414,CuSeO3,20,Cu1 Se1 O3,5.476776,6.151551,7.306758,90.0,90.0,90.0,ortho,Pnma,4.0057562,-5.554540329,-1.066740096,0.028767922,False,5.140191657,0.0,False,246.1695497,27.12,28.384
mp-16053,CuSiO3,10,Cu1 Si1 O3,2.860253,4.918236,8.958139,90.0,90.0,90.0,ortho,Pmma,2.0111634,-7.123297562,-2.249616019,0.091200764,False,3.679809082,0.112,False,126.0177181,31.454,19.986
mp-756630,DyAlO3,20,Dy1 Al1 O3,5.16840341,5.31063225,7.37199326,90.0,90.0,90.0,ortho,Pnma,0.0,-8.38752288,-3.745956005,0.012823483,False,7.795573824,5.723,True,202.34271,191.925,113.32
mp-10060,DyBPd3,5,Dy1 B1 Pd3,4.319571,4.319571,4.319571,90.0,90.0,90.0,cubic,Pm-3m,0.0041807,-22.30203584,-0.660132186,0.11293425,False,10.14836517,0.0,False,80.59755188,143.573,17.014
mp-3183,DyBRh3,5,Dy1 B1 Rh3,4.17299336,4.17299336,4.17299336,90.0,90.0,90.0,cubic,Pm-3m,0.6675759,-7.471840072,-0.79370189,0.0,True,11.01483085,0.0,False,72.66797883,183.388,86.089
mp-31120,DyScO3,20,Dy1 Sc1 O3,5.45367,5.747842,7.988247,90.0,90.0,90.0,ortho,Pnma,0.0014181,-9.120001231,-3.961055701,0.025833509,False,6.776053477,4.4598,True,250.4062485,164.678,82.262
mp-10038,Er3AlC,5,Er3 Al1 C1,5.303405,5.303405,5.303405,90.0,90.0,90.0,cubic,Pm-3m,6.6e-06,-3.890210928,1.445268623,1.87665023,False,6.020002828,0.0,False,149.1641237,38.49,16.408
mp-10274,Er3GaC,5,Er3 Ga1 C1,5.253141,5.253141,5.253141,90.0,90.0,90.0,cubic,Pm-3m,0.0013796,-4.005390444,1.186593145,1.629007376,False,6.684066284,0.0,False,144.9630019,46.623,21.304
mp-10275,Er3InC,5,Er3 In1 C1,5.533707,5.533707,5.533707,90.0,90.0,90.0,cubic,Pm-3m,0.0021078,-3.528453038,1.609746095,1.96854864,False,6.159974741,0.0,False,169.4526952,40.114,12.572
mp-10061,ErBPd3,5,Er1 B1 Pd3,4.304722,4.304722,4.304722,90.0,90.0,90.0,cubic,Pm-3m,0.0008943,-22.69787405,-0.667244015,0.114762246,False,10.35281433,0.0,False,79.76921708,146.762,20.647
mp-21455,EuAlO3,20,Eu1 Al1 O3,5.318991,5.33985,7.555933,90.0,90.0,90.0,ortho,Pnma,23.9990034,-9.099893921,-3.324379769,0.111482014,False,7.023941446,0.0,False,214.6082491,177.251,105.877
mp-983564,EuAsO3,5,Eu1 As1 O3,3.998452,3.998452,3.998452,90.0,90.0,90.0,cubic,Pm-3m,6.6835438,-8.219218426,-2.258794934,0.27696565,False,7.140400683,0.0,False,63.92572475,164.961,78.314
mp-865181,EuGeO3,5,Eu1 Ge1 O3,3.83991258,3.836787962,3.841179293,90.00353639,90.00233111,90.01420426,cubic,Pm-3m,6.807207,-8.551858304,-2.600853747,0.09222758,False,7.998798444,0.0,False,56.59182513,167.47,101.809
mp-644246,EuH3Pd,5,Eu1 H3 Pd1,3.78882214,3.79214528,3.79250035,90.0,90.0,90.0,cubic,Pm-3m,6.9417748,-14.96014824,-0.590813538,0.0,True,7.966230302,0.0,False,54.48974998,86.912,38.11
mp-753781,EuHfO3,5,Eu1 Hf1 O3,4.09768332,4.09766316,4.09771369,89.99898543,89.99935178,90.00050728,cubic,Pm-3m,6.9999999,-10.73750292,-3.719666126,0.0,True,9.133639661,0.4796,True,68.80440725,165.391,95.032
mp-771055,EuZrO3,5,Eu1 Zr1 O3,4.197333,4.197333,4.197333,90.0,90.0,90.0,cubic,Pm-3m,7.0004074,-10.28281081,-3.5468717,0.093319187,False,6.538823412,0.3877,True,73.94695196,154.842,83.545
mp-567703,Fe3NiN,5,Fe3 Ni1 N1,3.774044,3.774044,3.774044,90.0,90.0,90.0,cubic,Pm-3m,8.0131899,-8.032090492,-0.126394881,0.02635518,False,7.421038441,0.0,False,53.75524893,203.967,86.951
mp-579496,Fe3PtN,5,Fe3 Pt1 N1,3.84908392,3.84911315,3.84906827,90.0,90.0,90.0,cubic,Pm-3m,8.7936485,-8.215224814,-0.251329875,0.0,True,10.96693772,0.0,False,57.0261001,206.727,98.815
mp-580234,Fe3RhN,5,Fe3 Rh1 N1,3.83973055,3.83963097,3.83894589,90.0,90.0,90.0,cubic,Pm-3m,9.5591468,-8.368635934,-0.146106085,0.0,True,8.345426463,0.0,False,56.59814871,180.818,82.097
mp-2931287,FePS3,20,Fe1 P1 S3,5.874893187,10.33324698,7.677210003,89.94263304,105.9053738,89.999651,mono,P2_1/m,0.0,-5.816602746,-0.556488058,0.126051321,False,2.712103147,0.5064,False,448.215256,-109.892,-15.716
mp-2928,FePSe3,10,Fe1 P1 Se3,7.276442602,7.276442602,7.276442369,50.13797486,50.13797486,50.13798027,trig,R-3,0.0003489,-5.289859963,-0.415214129,0.111388733,False,5.144585785,0.0015,False,208.9631557,-687980.398,10723552664729.102
mp-1017563,GaPt3C,5,Ga1 Pt3 C1,4.206392,4.206392,4.206392,90.0,90.0,90.0,cubic,Pm-3m,0.0014611,-5.745444486,0.348587809,0.703917763,False,14.88114649,0.0,False,74.42677971,192.195,-67.22
mp-5223,GdAlO3,20,Gd1 Al1 O3,5.24264768,5.30533641,7.44562991,89.99999293,90.00005176,89.99998479,ortho,Pnma,27.9999996,-10.22356627,-3.69045005,0.008384389,False,7.448380871,3.2382,False,207.092822,184.501,108.981
mp-5690,GdScO3,20,Gd1 Sc1 O3,5.49028423,5.75677968,7.96255827,90.0,90.0,90.0,ortho,Pnma,27.9999996,-10.97082252,-3.920327644,0.011744572,False,6.603534804,3.1418,True,251.6674569,162.616,80.921
mp-973738,GeBO3,5,Ge1 B1 O3,3.407341,3.407341,3.407341,90.0,90.0,90.0,cubic,Pm-3m,0.0001038,-6.239931454,-1.010670926,1.358852278,False,5.517727488,0.0,False,39.55913596,202.009,-146.863
mp-28369,GeH3Cl,10,Ge1 H3 Cl1,4.586317384,4.586318865,8.35736286,90.0,90.0,104.8259431,ortho,Cmc2_1,0.0,-3.735963525,-0.404550759,0.0,True,2.171531545,4.7492,False,169.9388812,1.242999999999999,0.967
mp-1017566,GePbO3,5,Ge1 Pb1 O3,3.888437,3.888437,3.888437,90.0,90.0,90.0,cubic,Pm-3m,0.0001146,-6.347383798,-1.71147221,0.217755943,False,9.25941295,0.0,False,58.79294309,157.328,96.824
mp-541785,GePdS3,10,Ge1 Pd1 S3,3.47151536,7.581681148,9.321243387,106.7401816,90.0,103.2347361,mono,C2/m,0.0,-5.094248789,-0.650651115,0.0,True,4.007212269,1.3441,False,228.1245166,8.161,5.086
mp-1078233,H3CCl,10,H3 C1 Cl1,4.137763842,4.137763842,7.651655,90.0,90.0,103.5408506,ortho,Cmc2_1,0.0,-4.625037816,-0.372497522,0.079513755,False,1.316495231,5.5721,False,127.3631645,3.07,18.317
mp-23963,HIO3,20,H1 I1 O3,5.716437,5.890396,8.00416,90.0,90.0,90.0,ortho,P2_12_12_1,0.0,-4.849783467,-0.897171053,0.01635329,False,4.335262986,3.1022,False,269.516697,13.126,11.542
mp-1014252,Hf3ZnN,10,Hf3 Zn1 N1,5.840821849,5.840821849,8.74354286,90.0,90.0,147.1263711,ortho,Cmcm,0.0,-31.7165886,-1.017868711,0.0,True,12.61269599,0.0,False,161.9069748,149.253,92.143
